Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2020-10-05,55.11,49.79,52.68,53.22,0.0,89128128.86084658
Aave,2020-10-06,53.4,40.73,53.29,42.4,583091.4597628,71011441.25451232
Aave,2020-10-07,42.41,35.97,42.4,40.08,682834.18632335,67130036.89981823
Aave,2020-10-08,44.9,36.7,39.89,43.76,1658816.92260445,220265142.10956785
Aave,2020-10-09,47.57,43.29,43.76,46.82,815537.6607835,235632208.16269895
Aave,2020-10-10,51.41,46.7,46.82,49.13,1074627.02770495,247288428.7561697
Aave,2020-10-11,51.45,48.72,49.13,49.66,692150.60094118,249940843.43242228
Aave,2020-10-12,54.42,48.75,49.66,52.24,1354836.06481028,262915666.29307267
Aave,2020-10-13,57.48,49.6,52.24,51.12,1386221.2066711,257307050.4308017
Aave,2020-10-14,57.85,49.63,51.37,51.32,3132405.42216768,258274392.50811112
Aave,2020-10-15,52.08,44.02,51.39,44.02,5883146.06280652,221547139.10727772
Aave,2020-10-16,43.91,39.14,42.89,39.5,52855204.93631293,365071463.27992666
Aave,2020-10-17,43.08,38.63,39.49,41.37,43339687.2478275,382367032.26402897
Aave,2020-10-18,41.75,39.53,41.39,40.75,40441163.45662788,376635994.1363743
Aave,2020-10-19,41.0,35.95,40.84,36.01,49289896.51123791,332872221.1838187
Aave,2020-10-20,36.32,32.1,36.04,32.18,60632325.59383004,297449169.45201
Aave,2020-10-21,37.08,32.05,32.25,35.16,43831234.96273086,324997301.45456576
Aave,2020-10-22,39.86,33.59,35.1,38.03,54717366.37734977,402396251.49084926
Aave,2020-10-23,42.55,36.92,37.73,41.69,76081859.91147137,445257057.9715303
Aave,2020-10-24,42.44,38.73,41.69,39.46,57658170.2946863,421421064.2790179
Aave,2020-10-25,40.93,37.6,39.46,37.9,43970451.95984127,404862645.1741443
Aave,2020-10-26,39.16,35.07,37.9,36.03,50307222.85474928,384880121.63162833
Aave,2020-10-27,38.87,34.47,36.03,34.87,58581307.85370107,372464564.3579749
Aave,2020-10-28,35.56,32.0,34.87,32.39,60533866.82608766,346002819.346564
Aave,2020-10-29,33.16,28.24,32.39,29.1,66304785.64501483,310800760.62242234
Aave,2020-10-30,31.98,27.79,29.1,31.22,77280723.5890018,350090548.37008536
Aave,2020-10-31,32.9,29.61,31.22,29.71,58631071.60696922,333516029.29639417
Aave,2020-11-01,31.07,28.49,29.71,30.66,49568339.15865809,345465544.0019291
Aave,2020-11-02,33.92,29.34,30.66,29.73,87180146.47242028,335349717.5105502
Aave,2020-11-03,30.06,27.54,29.73,28.04,56775011.59564292,316455541.5979732
Aave,2020-11-04,28.43,26.09,28.04,27.72,50464690.5101932,313021334.56848735
Aave,2020-11-05,32.3,25.97,27.72,30.96,85212411.64251429,350205472.9254519
Aave,2020-11-06,40.77,30.86,30.96,38.46,147304661.0003733,435876358.2493624
Aave,2020-11-07,51.43,38.46,38.46,44.6,200580053.60534415,507707213.1975601
