Moeda,Data,Abertura,Fechamento,Variação [%],Dia da Semana
Aave,2020-10-05,52.68,53.22,1.025056947608199,Segunda-feira
Aave,2020-10-06,53.29,42.4,-20.435353724901482,Terça-feira
Aave,2020-10-07,42.4,40.08,-5.471698113207548,Quarta-feira
Aave,2020-10-08,39.89,43.76,9.701679618952113,Quinta-feira
Aave,2020-10-09,43.76,46.82,6.992687385740408,Sexta-feira
Aave,2020-10-10,46.82,49.13,4.933788979068779,Sábado
Aave,2020-10-11,49.13,49.66,1.0787706085894444,Domingo
Aave,2020-10-12,49.66,52.24,5.195328231977458,Segunda-feira
Aave,2020-10-13,52.24,51.12,-2.143950995405828,Terça-feira
Aave,2020-10-14,51.37,51.32,-0.0973330737784644,Quarta-feira
Aave,2020-10-15,51.39,44.02,-14.341311539209958,Quinta-feira
Aave,2020-10-16,42.89,39.5,-7.903940312427141,Sexta-feira
Aave,2020-10-17,39.49,41.37,4.760698911116727,Sábado
Aave,2020-10-18,41.39,40.75,-1.546267214302973,Domingo
Aave,2020-10-19,40.84,36.01,-11.826640548481892,Segunda-feira
Aave,2020-10-20,36.04,32.18,-10.710321864594894,Terça-feira
Aave,2020-10-21,32.25,35.16,9.023255813953478,Quarta-feira
Aave,2020-10-22,35.1,38.03,8.347578347578347,Quinta-feira
Aave,2020-10-23,37.73,41.69,10.495626822157437,Sexta-feira
Aave,2020-10-24,41.69,39.46,-5.349004557447822,Sábado
Aave,2020-10-25,39.46,37.9,-3.953370501773954,Domingo
Aave,2020-10-26,37.9,36.03,-4.934036939313978,Segunda-feira
Aave,2020-10-27,36.03,34.87,-3.219539272828209,Terça-feira
Aave,2020-10-28,34.87,32.39,-7.112130771436758,Quarta-feira
Aave,2020-10-29,32.39,29.1,-10.157456004939794,Quinta-feira
Aave,2020-10-30,29.1,31.22,7.2852233676975855,Sexta-feira
Aave,2020-10-31,31.22,29.71,-4.836643177450346,Sábado
Aave,2020-11-01,29.71,30.66,3.1975765735442585,Domingo
Aave,2020-11-02,30.66,29.73,-3.0332681017612515,Segunda-feira
Aave,2020-11-03,29.73,28.04,-5.684493777329301,Terça-feira
Aave,2020-11-04,28.04,27.72,-1.1412268188302437,Quarta-feira
Aave,2020-11-05,27.72,30.96,11.688311688311696,Quinta-feira
Aave,2020-11-06,30.96,38.46,24.224806201550386,Sexta-feira
Aave,2020-11-07,38.46,44.6,15.964638585543423,Sábado
Aave,2020-11-08,44.6,53.75,20.51569506726457,Domingo
Aave,2020-11-09,53.75,54.89,2.1209302325581403,Segunda-feira
Aave,2020-11-10,54.89,67.0,22.062306431043904,Terça-feira
