Moeda,Data,Alta,Baixa,Abertura,Fechamento,Volume,Marketcap
Aave,2020-10-05,55.11235847,49.78789992,52.67503496,53.21924296,0.0,89128128.86084658
Aave,2020-10-06,53.40227002,40.73457791,53.29196931,42.40159861,583091.4597628,71011441.25451232
Aave,2020-10-07,42.40831364,35.97068975,42.39994711,40.08397561,682834.18632335,67130036.89981823
Aave,2020-10-08,44.90251114,36.69605677,39.88526234,43.76446306,1658816.92260445,220265142.10956785
Aave,2020-10-09,47.56953274,43.2917758,43.76446306,46.81774415,815537.6607835,235632208.16269895
Aave,2020-10-10,51.4056548,46.70332768,46.81814554,49.13371767,1074627.02770495,247288428.7561697
Aave,2020-10-11,51.45337431,48.71603954,49.13312951,49.66072573,692150.60094118,249940843.43242228
Aave,2020-10-12,54.42141763,48.75407708,49.66157329,52.23869222,1354836.06481028,262915666.29307267
Aave,2020-10-13,57.48190422,49.59873521,52.23839242,51.12431679,1386221.2066711,257307050.4308017
Aave,2020-10-14,57.85394649,49.62952942,51.37289869,51.31651791,3132405.42216768,258274392.50811112
Aave,2020-10-15,52.08068541,44.01832531,51.38760962,44.01918294,5883146.06280652,221547139.10727772
Aave,2020-10-16,43.90673033,39.14295677,42.89060653,39.49584426,52855204.93631293,365071463.27992666
Aave,2020-10-17,43.07737327,38.63361292,39.48619161,41.36699325,43339687.2478275,382367032.26402897
Aave,2020-10-18,41.7494876,39.53158618,41.38959771,40.74697166,40441163.45662788,376635994.1363743
Aave,2020-10-19,40.9951837,35.95136399,40.83675675,36.01231739,49289896.51123791,332872221.1838187
Aave,2020-10-20,36.31907005,32.1010995,36.04378522,32.18001748,60632325.59383004,297449169.45201
Aave,2020-10-21,37.07820274,32.04814912,32.25348971,35.16035652,43831234.96273086,324997301.45456576
Aave,2020-10-22,39.85692062,33.58946348,35.09748742,38.03165056,54717366.37734977,402396251.49084926
Aave,2020-10-23,42.54665591,36.92467124,37.73059438,41.68663736,76081859.91147137,445257057.9715303
Aave,2020-10-24,42.43970617,38.72882165,41.68663733,39.45502214,57658170.2946863,421421064.2790179
Aave,2020-10-25,40.92850939,37.60120084,39.45502214,37.90476078,43970451.95984127,404862645.1741443
Aave,2020-10-26,39.16386433,35.07196756,37.90476254,36.03392191,50307222.85474928,384880121.63162833
Aave,2020-10-27,38.86918184,34.46963521,36.0339136,34.87153083,58581307.85370107,372464564.3579749
Aave,2020-10-28,35.56402236,32.00005907,34.87153639,32.39408292,60533866.82608766,346002819.346564
Aave,2020-10-29,33.1554836,28.24077345,32.39408189,29.09833402,66304785.64501483,310800760.62242234
Aave,2020-10-30,31.98077334,27.79246068,29.09834147,31.21782294,77280723.5890018,350090548.37008536
Aave,2020-10-31,32.90016101,29.61025941,31.21782294,29.70751775,58631071.60696922,333516029.29639417
Aave,2020-11-01,31.0670602,28.49448212,29.70751776,30.65727643,49568339.15865809,345465544.0019291
Aave,2020-11-02,33.92358529,29.34464956,30.65728227,29.73152358,87180146.47242028,335349717.5105502
Aave,2020-11-03,30.06291681,27.53711073,29.73152554,28.04280321,56775011.59564292,316455541.5979732
Aave,2020-11-04,28.4330692,26.08951824,28.04297069,27.71508436,50464690.5101932,313021334.56848735
Aave,2020-11-05,32.3030396,25.96615498,27.7150798,30.95562668,85212411.64251429,350205472.9254519
Aave,2020-11-06,40.76907497,30.8551283,30.95511845,38.45744081,147304661.0003733,435876358.2493624
Aave,2020-11-07,51.42799241,38.45744081,38.45744081,44.60489962,200580053.60534415,507707213.1975601
Aave,2020-11-08,54.78636021,42.86425511,44.60489961,53.74937894,174706008.6468665,613014913.9174644
Aave,2020-11-09,58.36411095,49.86012895,53.74937384,54.88649964,386011347.7491519,626843328.1215719
Aave,2020-11-10,70.30982523,53.17903589,54.88650532,67.00111098,433793206.4967589,780700254.0603075
Aave,2020-11-11,68.77859822,53.71675388,67.00111108,54.69964668,354136841.3455583,638025534.6074319
Aave,2020-11-12,59.61831483,50.52310167,54.69962256,51.63241804,244505561.5470832,603421827.5595561
Aave,2020-11-13,66.12366042,51.1791527,51.63243434,63.39907168,318852071.2420879,743396746.1819518
Aave,2020-11-14,68.37704309,57.89727345,63.39907168,67.01611273,243698854.74567783,786814070.8942633
Aave,2020-11-15,71.17455519,60.08891509,67.01611268,64.23729542,258275517.09982908,754769242.984942
Aave,2020-11-16,74.0423007,61.20922869,64.23729391,71.76639355,252527244.6746781,843863117.2246927
Aave,2020-11-17,79.56212338,68.95632584,73.2530654,78.44328478,310951195.4893777,923384720.0462722
Aave,2020-11-18,79.21050482,67.64859817,78.44275754,75.23227405,291394550.7946071,887327038.570436
Aave,2020-11-19,80.73120239,70.5034588,75.23277433,75.85718351,275294182.28090847,895838057.7896098
